essay_id,deberta_3891_feat_0,deberta_3891_feat_1,deberta_3891_feat_2,deberta_3891_feat_3,deberta_3891_feat_4,deberta_3891_feat_5,deberta_5188_feat_0,deberta_5188_feat_1,deberta_5188_feat_2,deberta_5188_feat_3,deberta_5188_feat_4,deberta_5188_feat_5,deberta_6485_feat_0,deberta_6485_feat_1,deberta_6485_feat_2,deberta_6485_feat_3,deberta_6485_feat_4,deberta_6485_feat_5
000d118,0.18081854,2.7067423,2.7154934,0.1371746,-2.9435718,-3.732814,0.051061757,3.5613883,3.3096137,-0.7421233,-3.6311755,-4.0084357,-0.612424,3.7288246,4.0767207,-0.86386895,-3.827272,-4.1554604
000fe60,-1.3744525,2.2411635,4.538786,1.4211037,-3.3299987,-4.5934167,-2.8295977,1.7620269,6.3588886,1.6984485,-3.6001437,-5.0042267,-3.3520968,1.2718655,6.3882937,2.4776547,-3.3542097,-5.129062
001ab80,-3.6372666,-2.2010877,1.6164569,4.4528403,1.7650328,-2.4318318,-3.8288386,-2.9106345,0.6058463,4.4707103,3.0933268,-1.7475864,-3.8490176,-2.843225,0.52641445,4.6236796,2.9880543,-1.8244592
001bdc0,-3.0863495,-0.8535458,3.186044,4.2951813,-0.52958983,-3.9673495,-3.5138469,-1.7802924,2.5033267,4.875453,0.46423215,-3.541399,-3.7632878,-1.8738632,2.2516901,5.257227,0.66307336,-3.4754233
002ba53,-1.3196136,1.8638306,4.2903914,1.4656186,-3.10569,-4.367429,-1.1685199,3.2774367,5.022703,-0.4939267,-3.9909627,-4.406455,-2.1524572,2.565278,5.9521236,0.30152038,-3.9189863,-4.600657
0030e86,-3.724972,-1.2947001,3.3915517,4.504176,-0.23338237,-3.6625447,-3.7744808,-1.7817696,2.6665244,4.9233823,0.51215374,-3.5510118,-4.1589427,-2.3017886,1.8569576,5.3465757,1.4914504,-3.0143628
0033037,0.8399241,5.4156156,2.4089572,-2.9379416,-3.8005207,-3.3169217,0.28512308,6.5512924,2.0752027,-3.5372741,-3.7952173,-2.9725735,-0.1563002,6.423577,2.5385337,-3.5131552,-3.821141,-3.0281796
0033bf4,-2.901154,0.38745496,4.667825,3.440927,-2.2851262,-4.570655,-3.4972599,-0.30666935,5.160888,3.7465696,-2.1221864,-4.687375,-3.676293,-0.18903223,5.1392713,3.968122,-2.2033372,-4.7609763
0036253,0.64368266,3.5861123,3.205385,-0.5401314,-3.7297254,-4.1607914,1.9695221,4.28067,2.0946999,-1.6727728,-3.9460928,-4.025102,1.2509009,4.9727054,2.7480206,-1.9730972,-4.295074,-4.24252
0040e27,-2.0903368,1.8382349,4.9850945,1.9186137,-3.3163042,-4.675281,-2.7821467,0.9045726,5.5748963,2.4161685,-3.0373907,-4.833486,-2.9761946,1.236186,5.8660264,2.2851927,-3.3229272,-4.943398
004229b,0.56527513,5.5730424,2.8071647,-2.6839256,-3.7364016,-3.548425,-1.1037189,5.829601,3.7580779,-2.904614,-3.8732927,-3.349931,-1.266254,5.9724946,3.8618903,-3.0356796,-3.8790972,-3.3388448
0047cb3,0.582459,5.3777328,2.5150025,-2.7744184,-3.724188,-3.3435576,0.39775786,6.108891,2.1325958,-3.3888075,-3.7708375,-3.082664,0.22074886,6.170597,2.1924367,-3.4778214,-3.730025,-3.076472
005a72e,-3.5263128,-2.3952,1.0631771,3.854438,2.4721582,-1.5812057,-3.5049784,-2.7627368,0.23359114,3.4819887,3.6115086,-0.95536005,-3.6013682,-2.6587002,0.36309448,3.871637,3.3163679,-1.3486454
00613e3,-2.702904,1.3435551,5.159026,2.4648633,-2.8174613,-4.664537,-2.9127994,1.6369011,6.2244167,1.6392009,-3.4501984,-4.8862658,-3.3977017,1.4628425,6.4710736,1.9325867,-3.3773878,-4.8513074
0065bd6,-2.437209,1.7015886,5.251867,1.9885665,-3.1704326,-4.5181727,-3.2201424,0.9505133,6.1697497,2.2139463,-3.1277688,-4.5783334,-3.3810203,0.9434166,6.0924964,2.561517,-3.1370237,-4.7264585
0066c7c,0.7023254,5.2914386,3.173986,-2.3213942,-4.0704813,-3.9430223,0.8357744,6.879816,2.0233433,-3.506522,-3.9942105,-3.420169,-0.008450611,6.740406,2.8437433,-3.4171302,-4.107381,-3.533765
006c931,-2.751486,1.4300514,5.455103,2.3431494,-3.022183,-4.685064,-3.083337,1.4968073,6.607778,1.6959136,-3.5990188,-4.94974,-3.5682662,1.0413859,6.6002336,2.2539864,-3.3356833,-4.954958
006d0e1,-3.5556445,-1.7216552,2.3909795,4.715783,0.7882693,-3.3039598,-3.6930475,-2.165517,1.8091364,4.896474,1.611852,-3.071875,-3.7660294,-2.3591766,1.1662155,4.9021153,2.1608841,-2.6285934
